cat,neighborhood,house,sourpuss,mass,birdKills
1,Whispering Woods,a,24.14730946,16.55485196,16.14730946
2,Whispering Woods,a,43.88618347,16.75593135,33.88618347
3,Whispering Woods,b,10.03833294,16.58829517,6.038332941
4,Whispering Woods,b,27.83882129,16.76855249,18.83882129
5,Whispering Woods,b,33.8623279,16.99596807,33.8623279
6,Whispering Woods,b,51.04324591,16.86887472,47.04324591
7,Whispering Woods,c,5.557890462,16.96193817,2.557890462
8,Whispering Woods,c,7.875730463,16.44162728,3.875730463
9,Whispering Woods,c,8.597529521,16.75104297,3.597529521
10,Whispering Woods,c,16.35856475,17.9606068,7.358564754
11,Whispering Woods,c,45.40038616,17.44654852,40.40038616
12,Whispering Woods,d,41.79467814,16.47812478,37.79467814
13,Whispering Woods,d,22.96415236,17.25594668,22.96415236
14,Whispering Woods,d,5.282949428,17.90007743,3.282949428
15,Whispering Woods,e,27.44280114,17.59704091,18.44280114
16,Whispering Woods,e,23.28513065,17.08193187,16.28513065
17,Whispering Woods,e,27.10853686,17.00534398,20.10853686
18,Whispering Woods,e,23.24258963,17.10932718,20.24258963
19,Whispering Woods,e,31.61791119,16.69571182,26.61791119
20,Whispering Woods,e,28.46775404,16.97708317,18.46775404
21,Whispering Woods,f,47.43277822,17.71744436,46.43277822
22,Whispering Woods,f,25.48980395,17.06868505,20.48980395
23,Whispering Woods,f,20.45276701,17.67402672,18.45276701
24,Whispering Woods,g,23.48422948,18.2921515,20.48422948
25,Whispering Woods,g,25.2012758,18.23539525,25.2012758
26,Whispering Woods,h,12.45363499,18.30819313,12.45363499
27,Whispering Woods,h,32.79512725,18.21753313,29.79512725
28,Whispering Woods,h,6,17.55122137,0
29,Whispering Woods,h,29.10772116,17.35323951,27.10772116
30,Whispering Woods,i,13.58209545,17.42216996,4.582095447
31,Whispering Woods,i,16.17675802,17.48399351,16.17675802
32,Whispering Woods,i,28.14801734,18.00634457,24.14801734
33,Whispering Woods,i,6.74291384,19.06409588,0.74291384
34,Whispering Woods,i,6.501824711,16.97087779,2.501824711
35,Whispering Woods,j,29.56301439,17.95743569,22.56301439
36,Whispering Woods,j,10.38043011,18.88472039,3.380430108
37,Whispering Woods,j,46.34032341,17.32164322,37.34032341
38,Whispering Woods,j,47.75108351,17.94239913,44.75108351
39,Whispering Woods,k,26.24916411,18.28767077,16.24916411
40,Whispering Woods,k,21.85241954,17.782055,16.85241954
41,Whispering Woods,l,15.82536052,19.19322152,10.82536052
42,Whispering Woods,l,29.46262142,18.56634414,20.46262142
43,Whispering Woods,l,42.4831356,18.8224188,36.4831356
44,Whispering Woods,m,27.88316223,19.10762972,23.88316223
45,Whispering Woods,m,49.94881782,19.30720144,40.94881782
46,Whispering Woods,m,39.02904817,19.598165,31.02904817
47,Whispering Woods,m,32.63866671,18.55081277,23.63866671
48,Whispering Woods,n,31.38679641,19.17647472,24.38679641
49,Whispering Woods,n,27.94455038,18.40877927,23.94455038
50,Whispering Woods,n,38.11963933,19.30299285,30.11963933
51,Whispering Woods,o,21.01377579,19.32441459,14.01377579
52,Whispering Woods,o,29.38920414,18.75596646,28.38920414
53,Whispering Woods,o,66.63475581,19.28173674,59.63475581
54,Whispering Woods,o,21.09588064,19.28957911,19.09588064
55,Whispering Woods,o,48.23737418,18.90644148,38.23737418
56,Whispering Woods,o,34.0081432,19.06611123,27.0081432
57,Whispering Woods,o,60.36024757,19.77971633,52.36024757
58,Whispering Woods,o,30.3553336,18.63583927,21.3553336
59,Whispering Woods,o,33.53537946,19.61694599,31.53537946
60,Whispering Woods,o,42.73581083,18.83476105,41.73581083
61,Soft Meadow,p,37.79678487,20.04518306,28.79678487
62,Soft Meadow,p,35.16276531,20.26518694,34.16276531
63,Soft Meadow,p,86.1273426,20.40826204,82.1273426
